title,titleId,isPublic,totalStar,contentGenre,typeGenre,startDay,t1,star1,starPar1,views1,day2,t2,star2,starPar2,views2,day3,t3,star3,starPar3,views3,t4,star4,starPar4,views4,day4,t5,star5,starPar5,views5,day5,t6,star6,starPar6,views6,day6,heart
우리들은 미미미,798308,0,9.88,daily,에피소드,2022-07-28,1화 - 떡볶이,9.79,541,47924,2022.08.07,2화 - 짜장라면과 군만두,9.87,583,42775,2022.08.13,베도입성! 감사합니다~!,9.84,472,31384,6화-마약 계란장,9.9,546,33242,2022.09.21,7화-바지락 칼국수,9.95,523,28127,2022.10.06,8화-대왕 돈까스,9.91,388,18543,2022.11.03,"1,492"
미필은 노하이,779079,0,9.87,"daily, comic",에피소드,2021-08-16,헬리콥터에서 촬영의뢰 제보썰,9.84,2549,159174,2021.08.20,무서운게 딱 좋아!,9.86,2231,146179,2021.08.26,선임의 전우애!!,9.9,1851,132131,의경 운전병 폐급썰,9.88,532,44239,2022.10.31,군대식 해결법 (상),9.87,564,48257,2022.11.01,군대식 해결법 (하),9.89,575,32140,2022.11.06,"13,528"
남편봇과 사는법,784471,0,9.9,daily,에피소드,2021-11-02,프롤로그,9.84,822,76308,2021.11.02,1. 첫 만남,9.89,1098,91114,2021.11.09,2. 연애에서 결혼까지,9.89,1117,94278,30. 여전한 남편봇,9.84,442,19263,2022.10.23,31. 결혼에 대한 로망,9.84,519,19705,2022.10.30,32. 생활 습관의 차이,9.88,360,11239,2022.11.07,"2,835"
과학고 생존일지,763952,0,9.81,daily,에피소드,2021-01-06,[1빵] 제가요? 과학고요?,9.69,3468,416023,2021.01.12,[2빵] 영재를 만난 범재,9.75,2767,347347,2021.01.19,[3빵] 입시는 힘들어,9.81,2447,312988,[55빵] 해외 이공계 투어 (3),9.74,796,42271,2022.10.04,[56빵] 해외 이공계 투어 (끝),9.77,626,32588,2022.10.26,"[57빵] 과학고, 떠나는 자와 남는 자",9.88,609,30061,2022.11.02,"16,616"
하루땃따,762676,0,9.9,daily,에피소드,2020-12-22,편의점과 동물친구들,9.79,537,43972,2020.12.25,해피 크리스마스 준비,9.81,422,36184,2021.01.01,얼렁뚱땅 새해맞이,9.82,381,30521,2022 호러메이즈 도전기(2),9.86,276,14635,2022.10.21,2022 호러메이즈 도전기(3),9.93,273,11712,2022.10.28,셀프 사진관에서 가족사진 찍기,9.91,320,10821,2022.11.04,"1,871"
나홀로 짠,794128,0,9.84,daily,에피소드,2022-09-15,00. 나홀로 짠,9.82,701,25500,2022.09.23,01. 소떡꼬지,9.81,525,19819,2022.09.30,02. 감자수제비,9.84,792,17347,04. 핫도그,9.72,446,14251,2022.10.21,05. 호러 로제떡볶이,9.77,392,12241,2022.10.28,06. 그냥라면,9.69,354,10437,2022.11.05,974
얘! 알바야,768130,0,9.84,"daily, comic",에피소드,2021-02-26,1. 편의점 알바생으로 산다는 건,9.8,465,53520,2021.03.05,2. 사실 접대모드만 있진 않습니다 (Feat.진상),9.84,398,43469,2021.03.12,3. 재고를 찾습니다!!,9.86,387,37572,65. 학교에 연재 고백하는 만화,9.89,325,13487,2022.09.30,66. 이상한 한의원의 다어쭌,9.66,238,12194,2022.10.14,67. <얘! 알바야> 마지막 인사,9.88,363,10902,2022.10.28,"1,224"
교수도 사람이다,770167,0,9.79,daily,에피소드,2021-04-01,1화 교수도 사람이다,9.79,1451,170487,2021.04.03,2화 덕력테스트,9.8,1174,127196,2021.04.05,3화 COME BACK HOME,9.77,1002,101525,69화 인터뷰,9.82,245,14448,2022.10.07,70화 경기웹툰페어 후기(화~수),9.71,237,12060,2022.10.11,71화 경기웹툰페어 후기(목~일),9.87,285,9654,2022.10.22,"3,218"
고고고,773874,0,9.9,"daily, comic",에피소드,2021-06-03,베니가 왔어요,9.81,539,37199,2021.06.07,고양이는 어려워,9.82,497,31840,2021.06.10,베니는 관심을 좋아해!,9.74,448,29211,아빠와 고양이,9.94,247,6304,2022.10.19,고양이가 밟는 이유,9.92,229,5605,2022.10.25,양갱이와 사냥놀이,9.98,231,4314,2022.11.02,"1,416"
죽 쑨 만화,762329,0,9.78,daily,에피소드,2020-12-18,대학에 붙긴 했는데,9.82,800,71844,2020.12.20,면접,9.73,537,52582,2020.12.23,전도,9.79,476,45221,교수님과 회식하는 만화,9.84,233,10788,2022.10.17,동기와 무계획 후 기만 화,8.85,289,10471,2022.10.24,흔들리는 버스 속에서 내 휘청임이 느껴진 거야,9.62,174,6743,2022.11.01,"1,613"
순임이,783177,0,9.88,"daily, drama",스토리,2021-10-08,프롤로그,9.87,616,30513,2021.10.08,1화 - 황해남도 배천에서의 어린시절.,9.88,491,29879,2021.10.16,"2화 - 그 날, 그 기억.",9.9,531,25593,업로드 지연관련 공지,9.56,162,5491,2022.10.30,31화 - 30년 만의 안부,9.93,239,6893,2022.11.02,자투리 에피소드 모음집,9.88,219,5298,2022.11.05,"1,215"
나의 카이생활,740571,0,9.65,daily,에피소드,2020-02-01,1화. 수강 신청,9.64,456,57242,2020.02.08,2화. 기숙사 생활,9.65,463,44387,2020.02.15,"3화. 영어, 영어, 영어",9.71,407,38038,"(번외) 닮은 듯 아닌 듯, 남매 툰",9.54,217,10492,2022.09.14,47화. 입시의 끝에서 부모님께,9.62,187,9387,2022.10.05,48화. 고학번이 되었다,9.61,149,6674,2022.10.25,"1,068"
국밥소녀,760822,0,9.38,daily,옴니버스,2020-11-30,1화 국밥,8.43,961,134007,2020.12.07,2화 자강두천,8.94,656,75080,2020.12.14,3화 노쇼,8.83,556,67093,98화 전역 (하) 完,9.64,228,13341,2022.10.10,QnA,9.69,201,10771,2022.10.17,후기,9.85,235,8863,2022.10.24,"3,015"
오늘의 후기,683018,0,9.77,daily,에피소드,2016-07-25,1화 염색한 후기-1,9.8,1743,344923,2016.08.05,2화 염색한 후기-2,9.8,1725,309112,2016.08.10,3화 첫인상 물어본 후기,9.8,1677,297815,131화 고양이와 1년째 사는 후기,9.72,283,14092,2022.05.13,휴재공지,9.17,258,12916,2022.05.27,132화,9.67,278,9424,2022.10.26,"7,923"
막내는 다 알아요!,788789,0,9.79,daily,에피소드,2022-01-14,"다섯 가족, 첫 인사",9.81,577,43542,2022.01.21,"엄마, 빨리 빨리",9.85,417,37392,2022.01.28,"아빠, 신경쓰이는 몸무게",9.84,343,32347,"아빠, 스트릿 diy",9.92,217,8744,2022.09.23,"둘째, 쇼핑백 사랑",9.9,184,8805,2022.09.30,공지,9.93,243,7338,2022.10.07,970
분노의 난임일기,727118,0,9.75,"daily, drama",스토리,2019-04-08,1화 1년차 부부,9.79,833,95109,2019.04.08,2화 애기 가져볼까?,9.82,726,90580,2019.04.12,3화 피임 안 하기,9.83,684,88806,39화 분노의 출판일기 - 전편,9.8,153,7767,2022.08.26,40화 분노의 출판일기 - 후편 (마지막 화),9.85,180,6207,2022.10.24,후기입니다.,9.89,231,5542,2022.11.04,"1,539"
별이도령,734072,0,9.62,daily,스토리,2022-09-04,1화,9.63,314,16012,2022.09.11,2화,9.61,239,11202,2022.09.18,3화,9.58,235,10238,4화,9.55,162,6657,2022.09.25,5화,9.79,126,5405,2022.10.02,연재 협의 공지,9.88,89,4637,2022.10.22,565
158동 진상부부,726814,0,9.48,daily,옴니버스,2019-04-02,"프롤로그, 진짜 부부의 일상 이야기",9.49,659,134613,2019.04.08,[1화] 둘이 먹으면 0칼로리,9.65,678,123900,2019.04.11,[2화] 고단한 출근길,9.7,592,83293,[223화] 화해 루틴,9.46,116,3753,2022.10.23,[224화] 진상부부 기념일,9.66,132,3724,2022.10.30,[225화] 여전히 기습 공격,9.71,92,2636,2022.11.06,"1,921"
어쩌다 주짓수,15067,0,9.67,"daily, sports",에피소드,2022-01-05,prologue,9.68,300,44775,2022.02.04,01_주짓수하는 사람들,9.75,323,46141,2022.02.11,02_신입회원,9.77,235,32854,36_마법의 스파링,9.39,103,4856,2022.10.14,37_주짓수 고인물 특,9.61,93,4621,2022.10.21,38_생활속 주짓수 단련,9.45,66,3472,2022.10.28,"2,681"
둘이서 아싸 라이프,794396,0,9.56,daily,옴니버스,2022-05-02,1화,9.41,221,28668,2022.05.12,2화,9.42,192,17746,2022.05.21,3화,9.4,177,15157,14화,9.64,99,5582,2022.10.14,15화,9.56,82,4179,2022.10.25,16화,9.96,51,1099,2022.11.08,913
예수쟁이 다이어리,779637,0,9.29,daily,에피소드,2021-08-23,1화. 사람 일 모른다,9.43,1392,39031,2021.09.11,2화. 그녀들을 조심하세요(1),9.39,694,27760,2021.09.18,3화. 그녀들을 조심하세요(2),9.2,744,25389,47화. 대화가 필요해,9.38,219,4765,2022.10.22,48화. 증거를 주세요,9.14,166,4149,2022.10.29,49화. 선물,9.6,157,2956,2022.11.06,"1,606"
다람쥐 란란,735351,0,9.87,daily,에피소드,2019-10-10,태양을 피하는 법,9.85,540,32457,2019.10.10,수영은 무서워,9.85,476,25442,2019.10.10,공놀이,9.89,422,22014,"이사 7,8",9.91,169,3977,2022.10.04,당근 / 호텔 한 달 살기,9.93,162,4334,2022.10.13,소음 빌런 / 동심,9.94,142,3082,2022.10.28,"1,557"
일상견문록,703099,0,9.89,daily,에피소드,2017-11-07,#1 [우즈베키스탄] 사마르칸트로 가는 길,9.88,486,48550,2017.11.14,"#2 [우즈베키스탄] 사마르칸트, 장보러 나왔어요~",9.87,376,30126,2017.11.21,#3 [우즈베키스탄] 가까운 것들의 소중함,9.87,348,25672,#260 [자투리] 웹툰 작가 꿈나무 2,9.89,79,1717,2022.10.25,#261 [우즈베키스탄] 말려도 맛있어요~,9.89,87,2074,2022.11.01,#262 [네덜란드] 튀겨도 맛있어요~,9.65,55,968,2022.11.08,"1,076"
중딩의 학교생활,773599,0,8.29,daily,에피소드,2021-05-27,첫인사,7.34,293,27966,2021.05.29,프롤로그,8.01,273,24979,2021.05.29,1화,7.94,265,24355,103화-얼티미트(4),9.47,34,1481,2022.10.23,104화-엘리베이터,9.37,43,1487,2022.10.30,105화-외부활동,9.31,39,972,2022.11.06,405
오늘의 난,784527,0,9.44,daily,옴니버스,2021-11-03,오늘의 1화 학생이 예뻐서,9.59,195,11783,2021.11.06,오늘의 2화 엄마의 실수,9.59,181,9297,2021.11.06,오늘의 3화 아빠의 실수,9.56,149,8163,오늘의 135화 쉬어가는 잔잔바리 만화,9.43,42,1406,2022.10.25,오늘의 136화 도수 있수경? 없수경?,9.37,35,1383,2022.10.27,오늘의 137화 알코올 쓰레기의 일기 (상편),8.77,22,650,2022.11.08,294
육식 토끼,717249,0,9.76,daily,스토리,2018-09-15,첫 소개와 인사,9.82,547,94436,2018.09.20,1화. 자기소개,9.89,701,87457,2018.09.24,한가위 인사,9.82,397,58090,100화. 자책 4,9.3,44,1972,2022.10.02,101.충돌 1,9.24,34,1546,2022.10.18,102화. 충돌 2,8.91,33,1402,2022.11.03,"1,628"
호수마을에서 기억나?,801270,0,9.66,daily,스토리,2022-10-12,1화. 너의 소원을 들어줄게!,9.4,45,3899,2022.10.19,2화. 둘이 언제까지 붙어있을 거야?,9.74,35,1846,2022.10.26,3화. 이건 인연이야!,9.78,40,1706,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4화. 성우 선배는 이미 성우예요!,9.8,44,2087,2022.11.02,61
"다시, 닻별",764879,0,5.99,"daily, drama",에피소드,2022-04-10,프롤로그-닻별이에요,7.42,297,9012,2022.05.08,"1화-꼬모, 등장!",6.55,189,5253,2022.06.26,2화-인사를 하자,7.08,142,3317,공지-여름 휴가,6.61,77,2265,2022.07.29,3화-601호,5.78,76,2355,2022.08.21,4화-그러지 마,5.06,53,1527,2022.10.16,233
핫캣일기,751743,0,9.81,daily,에피소드,2020-08-01,1화 요리는 무슨 맛,9.88,408,34723,2020.08.01,2화 스트레스 풀고 싶을 땐,9.84,314,26508,2020.08.01,3화 함께 산다는 것,9.89,256,20582,206화 찬바람이 불면,9.75,108,2726,2022.10.13,207화 카톡사망,9.66,107,2808,2022.10.17,208화 타코가게,9.82,100,2370,2022.10.22,"1,209"
새하얀 나비다드,787358,0,9.72,daily,스토리,2021-12-25,[0] Prologue,9.73,236,27972,2022.01.13,[1] 인과응보,9.67,158,20700,2022.01.24,[2] 이부자리 1,9.71,123,15186,[9] 동상이몽 2,9.26,61,4769,2022.08.13,[10] 발단,9.7,63,4495,2022.08.16,[11] 잔상,9.65,31,2153,2022.10.30,982
우리 남매의 일상은,699991,0,9.88,"daily, comic",에피소드,2017-08-23,-,9.86,3794,822772,2017.08.28,-,9.85,3824,794289,2017.08.31,-,9.72,3575,782419,0G,9.88,1619,195383,2018.03.25,연재확정 공지,9.92,1066,163156,2018.04.12,최종 공지,9.87,943,157812,2018.04.19,"20,742"
난봉꾼의 메타픽스,796161,0,9.48,daily,에피소드,2022-06-12,프롤로그?,9.65,102,7948,2022.06.19,그때,9.87,76,4911,2022.06.26,이상한,9.83,60,4006,위화감,8.63,27,1183,2022.10.09,동시다발,8.84,31,1004,2022.10.23,대립,9,27,961,2022.11.06,188
21세기 밴드 (21C BAND),793443,0,7.61,daily,에피소드,2022-05-13,1화. 내 차가 아니라니까,7.73,59,9541,2022.05.20,2화. 프로듀서가 필요해,8.29,42,1338,2022.05.27,3화. 이상한 나라의 진지은,8.71,35,793,18화 소원,6.32,22,574,2022.10.14,19화 얼마예요?,7.88,17,534,2022.10.18,20화 오지 오스본,7,12,458,2022.10.25,65
가담가담,678706,0,9.88,daily,스토리,2016-05-06,-,9.45,443,410515,2016.11.16,잠입보고서 - page [0],9.91,2350,743038,2016.11.28,잠입보고서 - page [1],9.87,2057,633773,잠입보고서 - page [27],9.88,486,139254,2017.12.26,-,9.7,390,122497,2017.12.30,-,9.53,258,114458,2018.04.17,"13,550"
어느날의 인어,793352,0,8.49,"daily, pure",스토리,2022-09-06,02. 삐끗,8.17,54,3558,2022.09.13,03. 우연,8.36,59,2776,2022.09.15,배도감사공지,8.23,35,2245,04. 진심,8.36,33,1941,2022.09.22,5-1. 돌아가는 길,7.95,22,1333,2022.09.30,5-2. 돌아가는 길,8.5,24,1400,2022.10.04,79
무쇠 후라이팬,671484,0,9.9,"daily, drama",에피소드,2016-03-03,01.첫만남,9.91,2349,480580,2016.03.15,02.비빔밥,9.89,1955,438964,2016.03.25,간장계란밥(상),9.89,2131,422496,16.기름튐방지망,9.95,1675,176264,2016.11.03,17.삼치구이,9.92,1513,176812,2016.11.12,18.만둣국,9.9,2262,144511,2017.02.13,"7,931"
견생＆묘생,798351,0,8.52,daily,에피소드,2022-07-29,프롤로그,8.35,79,10713,2022.08.03,1화. 라이벌,8.44,88,9521,2022.08.07,2화. 산책이 나가고 싶은 토리,8.23,79,7497,15화. 눈치를 보는 토리,9.18,33,881,2022.10.23,16화. 미로의 사냥 본능,8.84,31,673,2022.10.30,17화. 토리의 미용,8.76,29,577,2022.11.06,45
여우자매,726786,1,9.9,daily,옴니버스,2019-09-01,프롤로그,9.84,4119,537702,2019.09.08,1화,9.87,3511,469583,2019.09.13,.,9.87,2907,366649,.,9.96,1970,161495,2021.08.07,.,9.97,1689,142067,2021.12.02,.,9.95,1211,69249,2022.06.27,"34,668"
그녀는 나를 싫어해,686801,0,9.88,"daily, comic",에피소드,2016-10-10,1화,9.85,1187,416336,2016.10.13,2화,9.9,1033,278422,2016.10.17,3화,9.88,960,221461,13화,9.88,950,138811,2016.11.17,정식연재공지,9.79,485,155012,2016.11.21,정식연재,9.84,372,186794,2016.12.18,"6,465"
